"id","name","Відомчий.код.ПС","river","Назва.лабораторіҝ","lat","lon","date","key","value","norm","doc","mean","dev","size","last_date"
27222,"р. Дністер, 936 км, м. Заліщики, в/з, прав. берег, 50 м нижче мосту через річку по дорозі Чернівці - Тернопіль","ЧЕР ДНЕСТР 0000 0000 0000 0000 0000 0936 08 77","Дністер","Басейнова лабораторія моніторингу вод та ҙрунтів  БУВР Пруту та Сірету",48.63404,25.76609,2018-04-03,"Азот.загальний..мг.дм3",1.7,NA,NA,1.21,NA,NA,2018-04-03
27223,"р. Дністер, 900 км, с. Митків, правий берег, 200 м вище станціҝ першого підйому в/з м. Чернівці","ЧЕР ДНЕСТР 0000 0000 0000 0000 0000 0900 09 77","Дністер","Басейнова лабораторія моніторингу вод та ҙрунтів  БУВР Пруту та Сірету",48.61134,26.0233,2018-04-03,"Азот.загальний..мг.дм3",1.62,NA,NA,1.1,NA,NA,2018-04-03
27224,"р. Дністер, 826 км, м. Хотин, в/з, лівий берег, 600 м вище мосту дороги Чернівці-Камян.-Под.","ЧЕР ДНЕСТР 0000 0000 0000 0000 0000 0826 10 77","Дністер","Басейнова лабораторія моніторингу вод та ҙрунтів  БУВР Пруту та Сірету",48.54735,26.48316,2018-03-27,"Азот.загальний..мг.дм3",1.3,NA,NA,1.04,NA,NA,2018-03-27
27226,"р. Дністер, 708 км, с. Кормань, Дністровське вдсх., пр. берег, безпосередньо в районі насосноҝ станціҝ водозабору","ЧЕР ДНЕСТР 0000 0000 0000 0000 0000 0708 11 77","Дністер","Лабораторія моніторингу вод Новодністровського РУВР БУВР Пруту та Сірету",48.57879,27.17489,2018-04-02,"Азот.загальний..мг.дм3",1.59,NA,NA,0.98,NA,NA,2018-04-02
27227,"р. Дністер, 675 км, Дністровське вдсх, в/б'әф, пр. берег, 500 м вище греблі ГЕС - 1","ЧЕР ДНЕСТР 0000 0000 0000 0000 0000 0675 13 77","Дністер","Лабораторія моніторингу вод Новодністровського РУВР БУВР Пруту та Сірету",48.59569,27.44543,2018-04-03,"Азот.загальний..мг.дм3",1.8,NA,NA,1.14,NA,NA,2018-04-03
27228,"р. Дністер, 674 км, Дністровське вдсх, н/б'әф, пр. берег, 500 м нижче греблі ГЕС - 1","ЧЕР ДНЕСТР 0000 0000 0000 0000 0000 0674 14 77","Дністер","Лабораторія моніторингу вод Новодністровського РУВР БУВР Пруту та Сірету",48.58978,27.45564,2018-04-03,"Азот.загальний..мг.дм3",1.84,NA,NA,1.16,NA,NA,2018-04-03
27229,"р. Дністер, 658 км, с. Наславча, кордон з Молдовою, н/б'ф Нижньодністровськоҝ ГЕС","ЧЕР ДНЕСТР 0000 0000 0000 0000 0000 0658 15 77","Дністер","Лабораторія моніторингу вод Новодністровського РУВР БУВР Пруту та Сірету",48.491594,27.578839,2018-02-07,"Азот.загальний..мг.дм3",0.82,NA,NA,1.12,NA,NA,2018-02-07
27230,"р. Дністер, 631 км, м. Могилів – Подільський, (міст), Вінницька обл., митний перехід з Республікою Молдова","ЧЕР ДНЕСТР 0000 0000 0000 0000 0000 0631 16 05","Дністер","Лабораторія моніторингу вод Новодністровського РУВР БУВР Пруту та Сірету",48.444328,27.790794,2018-02-07,"Азот.загальний..мг.дм3",0.21,NA,NA,1.14,NA,NA,2018-02-07
27231,"р. Дністер, 550 км, с. Цикинівка, Ямпільський р-н, Вінницькоҝ обл. кордон з Молдовою, лівий берег, після скиду з очисних споруд м. Сороки (Молдова)","ЧЕР ДНЕСТР 0000 0000 0000 0000 0000 0550 16 05","Дністер","Лабораторія моніторингу вод Новодністровського РУВР БУВР Пруту та Сірету",48.16225,28.3099,2018-02-07,"Азот.загальний..мг.дм3",1.31,NA,NA,1.25,NA,NA,2018-02-07
27303,"р. Сірет, 418 км, с. Черепківці, міст, прикордонна зона з Румуніәю","ЧЕР ДУНАЙ 0181 0000 0000 0000 0000 0418 02 77","Дунай","Басейнова лабораторія моніторингу вод та ҙрунтів  БУВР Пруту та Сірету",48.01423,25.96489,2018-04-04,"Азот.загальний..мг.дм3",1.31,NA,NA,0.71,NA,NA,2018-04-04
27304,"р. Сірет, 448 км, м. Сторожинець, в/з","ЧЕР ДУНАЙ 0181 0000 0000 0000 0000 0448 01 77","Дунай","Басейнова лабораторія моніторингу вод та ҙрунтів  БУВР Пруту та Сірету",48.15054,25.71462,2018-03-07,"Азот.загальний..мг.дм3",1.23,NA,NA,0.94,NA,NA,2018-03-07
27307,"р. Прут, 790 км, смт. Неполоківці,, кордон Ів.-Франківськоҝ і Чернівецькоҝ обл.","ЧЕР ДУНАЙ 0174 0000 0000 0000 0000 0790 03 77","Дунай","Басейнова лабораторія моніторингу вод та ҙрунтів  БУВР Пруту та Сірету",48.37221,25.64033,2018-04-03,"Азот.загальний..мг.дм3",1.52,NA,NA,0.84,NA,NA,2018-04-03
27308,"р. Прут, 772 км, с.Ленківці, в/з м. Чернівці, лівий берег, 500 м вище мосту по дорозі на Чернівці","ЧЕР ДУНАЙ 0174 0000 0000 0000 0000 0772 04 77","Дунай","Басейнова лабораторія моніторингу вод та ҙрунтів  БУВР Пруту та Сірету",48.3213,25.89839,2018-02-06,"Азот.загальний..мг.дм3",0.88,NA,NA,0.75,NA,NA,2018-02-06
27309,"р. Прут, 759 км, с. Магала, лівий берег, 3 км нижче мосту по дорозі Чернівці-Хотин, 600 м нище скиду стічних вод м. Чернівці","ЧЕР ДУНАЙ 0174 0000 0000 0000 0000 0759 05 77","Дунай","Басейнова лабораторія моніторингу вод та ҙрунтів  БУВР Пруту та Сірету",48.26013,26.62998,2018-04-04,"Азот.загальний..мг.дм3",1.87,NA,NA,1.35,NA,NA,2018-04-04
27310,"р. Прут, 712 км, с. Тарасівці, (міст) – Орофтяни, прикордонна зона з Румуніәю","ЧЕР ДУНАЙ 0174 0000 0000 0000 0000 0712 06 77","Дунай","Басейнова лабораторія моніторингу вод та ҙрунтів  БУВР Пруту та Сірету",48.18574,26.33287,2018-04-04,"Азот.загальний..мг.дм3",1.47,NA,NA,0.89,NA,NA,2018-04-04
27311,"р. Прут, 697 км, с. Костичани, кордон з Румуніәю та Молдовою, 200 м нижче впадіння в р. Прут р. Черлена","ЧЕР ДУНАЙ 0174 0000 0000 0000 0000 0697 07 77","Дунай","Басейнова лабораторія моніторингу вод та ҙрунтів  БУВР Пруту та Сірету",48.21773,26.4982,2018-02-07,"Азот.загальний..мг.дм3",1.07,NA,NA,0.82,NA,NA,2018-02-07
27312,"р. Прут, 678 км, с. Мамалига, прикордонна зона з Румуніәю та Республікою Молдова.","ЧЕР ДУНАЙ 0174 0000 0000 0000 0000 0678 08 77","Дунай","Басейнова лабораторія моніторингу вод та ҙрунтів  БУВР Пруту та Сірету",48.26013,26.62998,2017-08-02,"Азот.загальний..мг.дм3",0.454,NA,NA,0.86,NA,NA,2017-08-02
26960,"р. Уж, 172 км, м. Коростень, питний в/з","ЧЕР ДНЕПР 0981 0028 0000 0000 0000 0172 01 18","Дніпро","Лабораторія моніторингу вод та ҙрунтів Житомирського ОВР",50.940514,28.626456,2017-11-14,"БСК5..МгО.дм3",2.78,3,"ОБУВ",2.81,-0.19,0.936666666666667,2017-11-14
